name,geometry_resto
GB-2,POINT (436759.1936397861 4472504.7232699245)
El Porto,POINT (436196.553468532 4472555.045305258)
El Mercado de Montiz,POINT (435942.42430885107 4472493.481737035)
Cáscaras,POINT (439445.98774016544 4475184.7801982025)
New Bistró,POINT (439404.23371556087 4475196.518086386)
Sabores patagónicos,POINT (438508.4473603448 4473922.224981462)
La Fogata,POINT (438544.8246369035 4473920.450337855)
Horno Santa María,POINT (438840.3178244917 4474681.440758677)
Florida Norte,POINT (438839.50983505126 4474691.59340142)
Duduá Palacio,POINT (439459.46005795605 4474822.488840288)
La Cope Beach Club,POINT (434604.09743560513 4469954.126961834)
Bar Restaurante Risol,POINT (438977.5206499173 4475793.025185891)
El Pinar,POINT (433622.89450383704 4487595.537341779)
Epoca de Esteban,POINT (443800.7787031905 4481373.690152086)
Il Duomo Di Firence,POINT (449827.4233878137 4479150.17454529)
Restaurante Bar Merendero Madrid,POINT (450254.5457534708 4479524.052465658)
Sagar,POINT (442972.4102392966 4476352.443838437)
Sumo,POINT (441271.13984831935 4478991.345274492)
"Restaurante ""El Cartel""",POINT (440759.12821512076 4473065.795542465)
El Papelón,POINT (440293.3057401045 4473960.805073537)
Casa García,POINT (440253.29910104396 4473978.818214602)
Arrocería Daniela,POINT (440215.97183989786 4473991.259878056)
Maceira,POINT (440991.7414015415 4473800.15547152)
Cacao,POINT (440860.09011910425 4473768.101683092)
Steak Burger,POINT (441136.30655961594 4473449.69350409)
Perlora,POINT (440634.2507449606 4473747.496325814)
Bombay Blue,POINT (440268.68150723877 4473745.493059398)
El Imparcial,POINT (440101.5221518613 4473725.935076662)
El Rincón de Tirso,POINT (440240.33048603317 4473737.737586567)
Cervecería Arrocería Orly,POINT (440248.5145938629 4473734.042451344)
Restaurante Oliveros,POINT (439955.25023103826 4473674.343512309)
Burger Grill,POINT (439929.6281498105 4473620.7105159545)
Comida China,POINT (439974.514815078 4473736.230873769)
,POINT (439956.81601734675 4473995.961638325)
La Alcaparra,POINT (439959.6590705666 4473927.170238829)
Bella Vista,POINT (439966.74023902277 4473911.87232385)
Paradita de San Miguel,POINT (439797.45906408987 4474164.526653732)
Tabernilla Sancho Panza,POINT (439795.8285682382 4474172.798649075)
Las Uvas Dulces,POINT (439764.69946496084 4474185.581349152)
Lateral,POINT (439790.5790496054 4474175.216349979)
Sake,POINT (443122.5009755295 4481577.497484822)
Bokado,POINT (438155.29373111104 4476831.193217011)
El rey del pollo,POINT (445571.07016731385 4469284.154692564)
Sushicome,POINT (439054.58757003536 4473675.9040313745)
Florida Retiro,POINT (442299.95638656337 4474410.2650094535)
Cervecería-Cafetería La Villa,POINT (446303.966273415 4470332.441534099)
Ribs Arturo Soria,POINT (444901.1012929911 4477866.4181466475)
Cervecería la Chata,POINT (437372.25374039606 4470858.285622392)
El Bloque de Ávila,POINT (437419.4733248547 4470785.826096774)
Parrilla Santa Cruz,POINT (437209.3961263516 4470946.709102153)
La Suegra,POINT (437184.4919433865 4470920.409048969)
El Secreto de Dora,POINT (437201.6788522866 4470846.112593895)
Casa Corrochano,POINT (443299.4168519938 4484700.756337917)
El Rincón del Pinar,POINT (443566.45877083327 4481360.1686502)
Delisco,POINT (443662.29062705545 4482053.095829704)
Casa Antonio Cortijo De Camas,POINT (443385.535882735 4478153.251980709)
Gran Vuelo,POINT (443442.291993655 4477761.347823853)
Vips,POINT (443317.9139932082 4477432.510429363)
Fragola,POINT (443457.9612661355 4477579.045851683)
El Lacón,POINT (440677.05000904104 4474070.375105081)
Hylogui,POINT (440719.68966323126 4474168.545000567)
Restaurante El Goloso,POINT (440088.99023256195 4489271.7118683625)
La Plazuela,POINT (440498.09863978304 4478846.169144781)
La Fornia,POINT (444518.93380762095 4475140.038115026)
Cuña Verde,POINT (437385.472069838 4472764.388076525)
El Torreón,POINT (432736.75761642616 4485818.655043504)
Restaurante Golf,POINT (435778.72663939034 4483033.412168875)
Musashi,POINT (439953.13494829956 4474504.601720447)
Casa Parrondo,POINT (439981.9271262443 4474494.65805816)
El Chulo,POINT (439863.9132934303 4474583.7210221635)
Da Nicola,POINT (439875.69105682423 4474943.566210406)
La Bientirada Terraza,POINT (442619.21632626466 4477909.886466688)
Bar Restaurante Montes,POINT (434130.768593516 4485783.896852566)
La Plaza Especialidad En Caza,POINT (434214.7193156843 4485772.000478139)
El Gamo,POINT (434233.8866136124 4485738.828294459)
El Asador del Abad,POINT (440862.20841758826 4481489.503135346)
La Pantxorga,POINT (439561.6041206188 4490045.50552049)
Os Ferreiros,POINT (450226.89915029076 4479610.886781674)
El Patio del Indiano,POINT (448595.7854990436 4473418.138867128)
,POINT (443383.5425652348 4479035.635899102)
El Brillante,POINT (441209.61468075577 4473340.754150275)
Fuente de Canalejas,POINT (447494.5408036325 4469218.664178796)
Trujillo Burger,POINT (441709.4624740379 4472422.673466834)
Ginos,POINT (441618.8789630984 4472431.603443047)
De Celso,POINT (441598.8712668289 4472457.124043079)
Prudencio,POINT (441604.0030431399 4472525.474861046)
Albor,POINT (441624.1004302354 4472514.772865639)
Restaurante Chino,POINT (441584.0067927345 4472546.977004801)
La Meka de la Baguette,POINT (441019.37235265336 4477512.522932571)
Vips,POINT (441664.615471779 4477945.901913964)
El Toril,POINT (439809.6136021091 4475606.153051375)
La Taguara,POINT (441727.28504669026 4472494.888652035)
La Mary,POINT (451895.515305313 4482848.412640757)
Restaurante Rast,POINT (441650.75126809406 4479399.547067625)
Amordidas,POINT (449448.56453637016 4468791.368219278)
Los Mariscos,POINT (443583.28595678584 4471981.120400478)
El Jardín de Somontes,POINT (435833.00514120667 4482390.301521003)
Fuentearcos,POINT (451309.0550859644 4471538.501784455)
Ecocentro,POINT (440215.73729943513 4477162.506358525)
Almagro,POINT (441091.8725005433 4475558.776452785)
O'Freixo,POINT (439274.54151570203 4470895.6473019)
Malacatín,POINT (439959.2187821389 4473540.504369313)
La Cueva de La Tina,POINT (439948.733084491 4473911.594698145)
La Encomienda,POINT (440101.65957433515 4473574.243493428)
Carol House,POINT (439960.02727037447 4473605.447858677)
La Casa del Abuelo,POINT (440462.45243920246 4474138.402569471)
La Cava de Illán,POINT (439874.66684657725 4473838.379927603)
Taberna Antonio Sánchez,POINT (440195.5859775407 4473626.754749325)
Trinchea,POINT (450526.1972637919 4477123.040179965)
Sushi Wok,POINT (450298.66297140234 4477102.800747624)
El Rodizio,POINT (447137.1201798235 4476768.363706283)
Orgaz,POINT (447249.24435238284 4478373.210573817)
Café del Gallo,POINT (440336.46674759133 4469694.682341414)
Nickelodeon Café,POINT (436198.6237592252 4473471.750611511)
Lamucca de Prado,POINT (440725.35362463316 4474029.631111247)
Tedeum,POINT (442037.3154061619 4472058.254128459)
,POINT (441803.0211237403 4472174.770277413)
Jarritus,POINT (443643.0772658648 4475736.924534696)
Vips,POINT (443686.5369360284 4475723.7433194555)
La Junta,POINT (440473.09649159195 4475075.93563393)
Marcelino,POINT (438791.67842697795 4475633.979923737)
Quinta La Muñoza,POINT (437549.3485202302 4485062.789576603)
Cazorla,POINT (442250.8384662261 4476140.620414173)
Restaurante El Buey,POINT (439666.13024680375 4474693.231154583)
El Mollete,POINT (439719.71373706934 4474599.143577337)
Triángulo,POINT (441154.9991301538 4475297.925627024)
,POINT (441240.2915980426 4475304.616156093)
Fit Food,POINT (441256.62054559594 4475297.949864025)
Delina's,POINT (441212.810436198 4475325.756404333)
Vips,POINT (441299.5249713557 4475270.361593)
Lizarrán,POINT (441093.92992843286 4475406.103974466)
Tony Roma's,POINT (441174.9599851774 4475349.764404941)
La fábrica,POINT (441222.8216786037 4475319.394911151)
Plaza 66,POINT (441111.9837567418 4475394.4396057855)
BICE,POINT (441204.1581362999 4475331.241398735)
,POINT (441131.4562434988 4475279.339303434)
100 Montaditos,POINT (440940.5550331705 4475341.606255238)
Mallorca,POINT (441087.6933565915 4475365.990807138)
Da Gavino,POINT (440936.26512648194 4475299.957070712)
Casa Orellana,POINT (440998.06282692397 4475343.7508454835)
Osom Coffee Atelier,POINT (440924.86312584736 4475291.288513722)
Época,POINT (441156.5584181609 4475303.119592361)
Paris Avenue,POINT (440946.58109438786 4475351.671474523)
Nuevo Horno de Santa Teresa,POINT (440984.62964177754 4475233.327324618)
Peyote San,POINT (441300.8583941496 4475203.403116387)
Calicanto,POINT (441069.00688268716 4475234.6282074)
La tasca suprema,POINT (441029.5984227929 4475169.5219967645)
La China Mandarina,POINT (439970.3542621087 4473545.088596015)
La Barca del Patio,POINT (439971.4885896428 4473578.67011161)
Cascorro,POINT (439978.9766539289 4473627.941505538)
Solofirme,POINT (439857.2975409788 4473511.415937198)
Mesón del Rastro,POINT (439874.0330414182 4473470.442400083)
Los Tiernos,POINT (439866.5264890791 4473580.865372341)
Taberna Matritum,POINT (439829.2486525496 4473741.335905649)
Tapioca,POINT (439772.0919960542 4473670.4174892055)
Cava María,POINT (439891.9684609509 4473778.142202466)
Cantalejo,POINT (439925.4970510371 4473743.716756445)
La Latina,POINT (439918.6108319478 4473751.586798213)
Mad Café,POINT (439857.5177281636 4473757.860015956)
Sagardi,POINT (441446.2268648639 4475461.466173079)
IL COC,POINT (441022.14642547927 4475232.676780309)
El Caral,POINT (442266.16467037215 4472656.95294194)
Cervecería La Camocha,POINT (440417.67506985215 4475682.2177653)
Mesón Cubano,POINT (440337.6935492533 4475734.86084786)
Chikito,POINT (442073.14799387706 4476241.131965044)
Depintxos,POINT (442249.62511575304 4476410.175615066)
Castizo Velázquez,POINT (442026.75553524646 4476277.967529226)
Pura Brasa,POINT (451678.7019224511 4479549.067131055)
Str EAT,POINT (451682.9383984437 4480084.415540383)
Blanca Rosa,POINT (441727.16963304376 4476509.631305187)
Sushiwakka,POINT (441773.8590013732 4476556.113077634)
Lamucca,POINT (441770.4517789554 4476505.143119041)
La Armonia,POINT (441917.3123249733 4476394.195381231)
Hevia,POINT (441795.279344079 4476385.185167864)
Mesón 5Jotas,POINT (441796.30072637193 4476398.742237953)
El Kiosko,POINT (441801.4522241064 4476422.046904412)
El Séptimo,POINT (441904.2506726277 4476283.800736076)
El Asador de Aranda,POINT (441944.29463422194 4476287.053645433)
La Gabinoteca,POINT (441082.678196792 4476706.680612061)
Katiyaki,POINT (440299.36468889954 4475077.372949187)
Lamucca,POINT (440290.7689921758 4474978.1014677035)
El bonito,POINT (440246.1502844241 4474955.367634348)
El Patio,POINT (440647.6981296137 4474281.086859471)
La catedral,POINT (436609.5301333708 4473225.348083034)
Aroma,POINT (440698.9542739387 4474155.787826178)
La Tape,POINT (440125.4819688682 4475595.097327398)
Casa Paulino,POINT (440841.7678337202 4476866.098034264)
El Padre,POINT (441691.8312310241 4475574.032196125)
La Taberna del Foque,POINT (444454.0267719976 4484233.99029467)
La Creperie Easycrep,POINT (438973.5850140179 4475384.7282199655)
Restaurante Hermanos Méndez,POINT (437092.5002678948 4471313.911212921)
La Tagliatella,POINT (442898.7868002671 4475057.851218941)
Mesón El Águila,POINT (448478.4567922949 4472505.94504073)
Milos,POINT (443014.4474740219 4475930.910894442)
Taberna Moderna,POINT (442762.2807266577 4474512.598378405)
Restaurante Sidrería Carlos Tartiere,POINT (442739.76287425956 4474533.57286901)
Restaurante La Catapa,POINT (442572.601380785 4474543.643257846)
Restaurante La Montería,POINT (442520.1945242821 4474624.335608925)
La Boiga,POINT (442308.2888086453 4476224.309592949)
Restaurante La Alpargatería,POINT (442322.89352155756 4476253.846963958)
Fantástico,POINT (440807.8391317602 4473286.4910753835)
100 Montaditos,POINT (442343.1586615287 4471735.80152162)
Jardín de Oriente,POINT (436166.7738380588 4473226.061980806)
Bar Los Poetas,POINT (439170.4471702612 4479995.336017959)
