name,cod_distrito,distrito,geometry
Arrocería Gala,1,Centro,POINT (-3.6963071 40.412427)
Arrocería Imperial,2,Arganzuela,POINT (-3.7150302 40.4041631)
Arrocería La Siembra,20,San Blas-Canillejas,POINT (-3.6165907 40.4632767)
Arrocería Marina Ventura,1,Centro,POINT (-3.6989014 40.4153709)
Arroces y Asados Dalia,8,Fuencarral-El Pardo,POINT (-3.6944768 40.5071443)
Art & Sushi,7,Chamberí,POINT (-3.7033769 40.429041)
Arte 14,16,Hortaleza,POINT (-3.6706962 40.4829825)
Arte Buen Llantar,16,Hortaleza,POINT (-3.6717214 40.4819347)
Artemisa,1,Centro,POINT (-3.6989734 40.4160137)
Artemisa,1,Centro,POINT (-3.7029076 40.419207)
Artium,7,Chamberí,POINT (-3.7023035 40.4351893)
Arturo's,2,Arganzuela,POINT (-3.6801792 40.3916941)
Arturo's,19,Vicálvaro,POINT (-3.5631352 40.4063476)
Arugula,4,Salamanca,POINT (-3.6818357 40.4223841)
Arzabal,21,Barajas,POINT (-3.5676215 40.4938287)
Arzábal,4,Salamanca,POINT (-3.6793161 40.4204232)
As Padriñas Novas,4,Salamanca,POINT (-3.6748121 40.4297201)
As de Bastos,6,Tetuán,POINT (-3.7079764 40.4531776)
Asador & Burger,10,Latina,POINT (-3.7652806 40.3930891)
Asador Argentino,20,San Blas-Canillejas,POINT (-3.5873772 40.446926)
Asador Avelino,11,Carabanchel,POINT (-3.7551029 40.3721524)
Asador Betel,11,Carabanchel,POINT (-3.7455128 40.3727978)
Asador Casa Juan,6,Tetuán,POINT (-3.6931737 40.4640775)
Asador Castellano,1,Centro,POINT (-3.7099576 40.4092051)
Asador Cristóbal,6,Tetuán,POINT (-3.6962247 40.4661064)
Asador Cruz Nevada,14,Moratalaz,POINT (-3.6313348 40.4034416)
Asador El Molinón,1,Centro,POINT (-3.7220873 40.4217156)
Asador Enrique,17,Villaverde,POINT (-3.7190256 40.3360377)
Asador Lekeitio,5,Chamartín,POINT (-3.67212 40.4548553)
Asador Limbo,7,Chamberí,POINT (-3.7002181 40.4252314)
Asador Llopis,18,Villa de Vallecas,POINT (-3.6154256 40.3832238)
Asador Lorena,18,Villa de Vallecas,POINT (-3.6269324 40.3755042)
Asador Lujam,11,Carabanchel,POINT (-3.7375135 40.3854305)
Asador Parrilla,20,San Blas-Canillejas,POINT (-3.6347889 40.4374882)
Asador Pepito's,5,Chamartín,POINT (-3.6661019 40.466158)
Asador Pikondo,11,Carabanchel,POINT (-3.7522253 40.3873668)
Asador Real,1,Centro,POINT (-3.7093085 40.4177056)
Asador Restaurante Guetaria,6,Tetuán,POINT (-3.6984193 40.447544)
Asador Ricardo,8,Fuencarral-El Pardo,POINT (-3.7789095 40.5212469)
Asador Rías Bajas,15,Ciudad Lineal,POINT (-3.6403865 40.4445989)
Asador Sotero,6,Tetuán,POINT (-3.6958457 40.4660412)
Asador de Aranda,1,Centro,POINT (-3.7074993 40.4198525)
Asador de Enrique,17,Villaverde,POINT (-3.7093251 40.3448748)
Asador de Hongkongnes,1,Centro,POINT (-3.709858 40.4240471)
Asador de la Esquina,5,Chamartín,POINT (-3.687472 40.4524625)
Asador del Abad,6,Tetuán,POINT (-3.7057914 40.4766703)
Asador del Norte,7,Chamberí,POINT (-3.6948384 40.4405868)
Asador donostiarra,6,Tetuán,POINT (-3.6957845 40.4617774)
Ascuas,7,Chamberí,POINT (-3.700596 40.439752)
Asgaya,6,Tetuán,POINT (-3.6875756 40.4625075)
Asia,16,Hortaleza,POINT (-3.6618797 40.4887068)
Asia Té,6,Tetuán,POINT (-3.6851419 40.4710711)
Asian house,2,Arganzuela,POINT (-3.7068106 40.405486)
AskuaBarra,1,Centro,POINT (-3.6988046 40.4170977)
Astros,7,Chamberí,POINT (-3.7040554 40.4374026)
Asturias,2,Arganzuela,POINT (-3.6926393 40.4067104)
Atelier Gastrobar,18,Villa de Vallecas,POINT (-3.5951201 40.3597542)
Atocha Tandoori,2,Arganzuela,POINT (-3.6952969 40.4050712)
Atrapallada,2,Arganzuela,POINT (-3.7058792 40.4043084)
Autoservicio,10,Latina,POINT (-3.798808 40.3825225)
Avanty s,4,Salamanca,POINT (-3.6787007 40.4254581)
Aviseu,1,Centro,POINT (-3.7108135 40.4086148)
Avocado Love,7,Chamberí,POINT (-3.703638 40.4252766)
Awtar,1,Centro,POINT (-3.7083471 40.4211313)
Ay! Rosa,1,Centro,POINT (-3.6989795 40.4138366)
Ayala Japón,4,Salamanca,POINT (-3.6766517 40.4274462)
Aymuray,8,Fuencarral-El Pardo,POINT (-3.6755025 40.5059272)
Aynaelda,10,Latina,POINT (-3.7540916 40.3959467)
Azura Bar,1,Centro,POINT (-3.7066306 40.4117395)
A´ Fenestella,16,Hortaleza,POINT (-3.6383813 40.468231)
B13 bar,1,Centro,POINT (-3.7035187 40.4219278)
BASICS by Goiko,1,Centro,POINT (-3.699278 40.4226539)
BASMATI Indian Restaurant,7,Chamberí,POINT (-3.7050369 40.430296)
BB&πK,12,Usera,POINT (-3.720409 40.3954498)
BBQ Burger,7,Chamberí,POINT (-3.7103182 40.4309992)
BBQ Burguer,2,Arganzuela,POINT (-3.6845159 40.3987437)
BE BANH MI - ES VIETNAM,1,Centro,POINT (-3.7076798 40.4228859)
BICE,7,Chamberí,POINT (-3.6931302 40.4265389)
BLT - Barra Libre de Tapas,21,Barajas,POINT (-3.5813432 40.4709742)
BUSAN Go!,2,Arganzuela,POINT (-3.6979959 40.4050698)
Baan Pad Thai,1,Centro,POINT (-3.7097918 40.4249284)
Babel,1,Centro,POINT (-3.6974364 40.4214407)
Bacchvs,14,Moratalaz,POINT (-3.6482643 40.4071992)
Bacira,7,Chamberí,POINT (-3.6989949 40.4337811)
Bacoa,1,Centro,POINT (-3.7016737 40.4167462)
Badila,1,Centro,POINT (-3.7037506 40.4117997)
Badsha,6,Tetuán,POINT (-3.7077637 40.4573351)
