name,cod_distrito,distrito,geometry
Casa Fonso,10,Latina,POINT (-3.745 40.3967)
Casa Félix,11,Carabanchel,POINT (-3.7409 40.3823)
Casa García,1,Centro,POINT (-3.7039 40.4165)
Casa Garrido,6,Tetuán,POINT (-3.7033 40.4582)
Casa Ginés,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Casa González,1,Centro,POINT (-3.7039 40.4165)
Casa Granada,1,Centro,POINT (-3.7039 40.4165)
Casa Guerra,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Casa Hortensia,1,Centro,POINT (-3.7039 40.4165)
Casa Jacinto,1,Centro,POINT (-3.7039 40.4165)
Casa Jaguar,1,Centro,POINT (-3.7039 40.4165)
Casa Jari,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Jiang,1,Centro,POINT (-3.7039 40.4165)
Casa Jinlai,12,Usera,POINT (-3.7072 40.381)
Casa Jorge,4,Salamanca,POINT (-3.678 40.4297)
Casa José Ferreira,6,Tetuán,POINT (-3.7033 40.4582)
Casa José Luis,6,Tetuán,POINT (-3.7033 40.4582)
Casa Koi Migrante,7,Chamberí,POINT (-3.7037 40.4336)
Casa Laura,6,Tetuán,POINT (-3.7033 40.4582)
Casa Lautrec,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Lobo,1,Centro,POINT (-3.7039 40.4165)
Casa Lolea,1,Centro,POINT (-3.7039 40.4165)
Casa Longinos,7,Chamberí,POINT (-3.7037 40.4336)
Casa Lucas,1,Centro,POINT (-3.7039 40.4165)
Casa Lucio,1,Centro,POINT (-3.7039 40.4165)
Casa Luis,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Manolo,19,Vicálvaro,POINT (-3.601 40.4008)
Casa Manolo,1,Centro,POINT (-3.7039 40.4165)
Casa Manolo,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Casa MarTha,4,Salamanca,POINT (-3.678 40.4297)
Casa Maravillas,7,Chamberí,POINT (-3.7037 40.4336)
Casa Marco,7,Chamberí,POINT (-3.7037 40.4336)
Casa Mari,10,Latina,POINT (-3.745 40.3967)
Casa Marius,1,Centro,POINT (-3.7039 40.4165)
Casa Mateos,1,Centro,POINT (-3.7039 40.4165)
Casa Mingo,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Casa Moraleda,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa Mories,1,Centro,POINT (-3.7039 40.4165)
Casa Mouriño,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Casa Mundi,7,Chamberí,POINT (-3.7037 40.4336)
Casa Narcisa,6,Tetuán,POINT (-3.7033 40.4582)
Casa Nemesio,6,Tetuán,POINT (-3.7033 40.4582)
Casa Nicasio,1,Centro,POINT (-3.7039 40.4165)
Casa Nina,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa Orellana,7,Chamberí,POINT (-3.7037 40.4336)
Casa PEI+,7,Chamberí,POINT (-3.7037 40.4336)
Casa Paco,1,Centro,POINT (-3.7039 40.4165)
Casa Paco,1,Centro,POINT (-3.7039 40.4165)
Casa Paniza,6,Tetuán,POINT (-3.7033 40.4582)
Casa Parrondo,1,Centro,POINT (-3.7039 40.4165)
Casa Parrondo,1,Centro,POINT (-3.7039 40.4165)
Casa Patas,1,Centro,POINT (-3.7039 40.4165)
Casa Patillas,7,Chamberí,POINT (-3.7037 40.4336)
Casa Paulino,7,Chamberí,POINT (-3.7037 40.4336)
Casa Pepe,6,Tetuán,POINT (-3.7033 40.4582)
Casa Pepe,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Perico,1,Centro,POINT (-3.7039 40.4165)
Casa Pipi,1,Centro,POINT (-3.7039 40.4165)
Casa Poli,4,Salamanca,POINT (-3.678 40.4297)
Casa Ramona Taberna Manchega,6,Tetuán,POINT (-3.7033 40.4582)
Casa Real,13,Puente de Vallecas,POINT (-3.6622 40.3851)
Casa Revuelta,1,Centro,POINT (-3.7039 40.4165)
Casa Rúa,1,Centro,POINT (-3.7039 40.4165)
Casa Salvador,1,Centro,POINT (-3.7039 40.4165)
Casa Santoña,1,Centro,POINT (-3.7039 40.4165)
Casa Santoña,4,Salamanca,POINT (-3.678 40.4297)
Casa Suecia,1,Centro,POINT (-3.7039 40.4165)
