zona,nombre,direccion,latitud,longitud,rating,usuarios,precio,tipos
centro,Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",40.4186427,-3.7067589,4.5,1295.0,,"cafe, lodging, store, restaurant, food, point_of_interest, establishment"
centro,La Capilla De La Bolsa,"Calle de la Bolsa, 12, Madrid",40.4151573,-3.7049823,4.4,252.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",40.420354,-3.7011024,4.4,1498.0,,"cafe, lodging, store, restaurant, food, point_of_interest, establishment"
centro,RIBS ABADA,"Calle de la Abada, 8, Madrid",40.4193231,-3.704118599999999,4.7,20596.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Restaurante Ginger,"Plaza del Ángel, 12, Madrid",40.414264,-3.702353,4.1,7202.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,La Finca de Susana,"Calle del Príncipe, 10, Madrid",40.4160028,-3.7004754,4.1,6076.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,La Negra Tomasa,"Calle de Cádiz, 9, Madrid",40.4158479,-3.7023806,4.1,7330.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Chincha Casa Perú,"Calle de las Fuentes, 9, Madrid",40.4172739,-3.708800800000001,4.4,1419.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Lamucca de Prado,"Calle del Prado, 16, Madrid",40.4148451,-3.6985903,4.2,6572.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Taberna de La Daniela Cuchilleros,"Calle de Cuchilleros, 9, Madrid",40.4144913,-3.707907499999999,4.0,2242.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Chocolatería San Ginés,"Pasadizo de San Ginés, 5, Madrid",40.41674069999999,-3.7069176,4.3,65041.0,,"cafe, store, restaurant, food, point_of_interest, establishment"
centro,La Venganza De Malinche | Restaurante Mexicano | Sol,"Calle de los Jardines, 5, Madrid",40.4189893,-3.7013529,4.3,2691.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Casa Labra,"Calle de Tetuán, 12, Madrid",40.41717239999999,-3.704593,4.4,14414.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Restaurante Los Galayos,"Calle de Botoneras, 5, Madrid",40.4148971,-3.7066829,4.2,4143.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,La Mordida,"Calle de las Fuentes, 3, Madrid",40.4169643,-3.7088054,4.4,4834.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Radio Rooftop Madrid,"Calle del Príncipe, 14, Madrid",40.4148202,-3.7014664,3.8,1336.0,3.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Estancia La Adriana,"Calle del Correo, 2, Madrid",40.416417,-3.704406999999999,4.6,2538.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Restaurante Sidrería Casa Parrondo,"Calle de Trujillos, 9, Madrid",40.41894579999999,-3.707466799999999,3.8,4607.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Asador Arizmendi,"Plaza de Tirso de Molina, 7, Madrid",40.412139,-3.7044438,3.9,38.0,,"restaurant, food, point_of_interest, establishment"
centro,MUSASHI,"Calle de las Conchas, 4, Madrid",40.4190371,-3.7076722,4.5,2507.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,Jardín Prohibido,"Calle de la Cruz, 39, Madrid",40.41462089999999,-3.702906699999999,3.5,80.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Cañas y Tapas,"Plaza de Celenque, 1, Madrid",40.4174438,-3.7060387,4.0,4562.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Grazie Mille Mozzarella Bar Galería Canalejas,"Food Hall Galeria Canalejas, Calle Alcalá, 12, planta -1, Madrid",40.41718669999999,-3.7008587,4.0,1307.0,2.0,"liquor_store, bar, restaurant, store, food, point_of_interest, establishment"
centro,Restaurante El Ñeru,"Calle de Bordadores, 5, Madrid",40.4164858,-3.707776200000001,4.4,6019.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Malatesta di San Gines,"Calle de los Coloreros, 5, Madrid",40.41659689999999,-3.7070241,4.4,2600.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Cardamomo Tablao Flamenco,"Calle de Echegaray, 15, Madrid",40.4154556,-3.699510899999999,4.5,3951.0,,"restaurant, food, point_of_interest, establishment"
centro,Los amigos,"Calle de las Conchas, 6, Madrid",40.41899169999999,-3.7077778,4.0,1253.0,1.0,"restaurant, bar, food, point_of_interest, establishment"
centro,Entre Suspiro Y Suspiro,"Calle de los Caños del Peral, 3, Madrid",40.4186859,-3.7090349,4.5,1046.0,3.0,"restaurant, food, point_of_interest, establishment"
centro,Matador,"Calle de la Cruz, 39, Madrid",40.41467569999999,-3.7028543,4.6,3324.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Cervecería 100 Montaditos,"Calle de la Montera, 34, Madrid",40.41906729999999,-3.7018066,4.1,12495.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Café Central,"Plaza del Ángel, 10, Madrid",40.4141589,-3.7018306,4.1,6074.0,2.0,"cafe, night_club, bar, restaurant, store, food, point_of_interest, establishment"
centro,La Cabaña Argentina,"Calle de Ventura de la Vega, 9, y 10, Madrid",40.4156913,-3.69898,4.7,9407.0,3.0,"restaurant, food, point_of_interest, establishment"
centro,Fatigas del querer,"Calle de la Cruz, 17, Madrid",40.4155674,-3.701657599999999,4.4,4918.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Restaurante Casa Gallega,"Calle de Bordadores, 11, Madrid",40.4171752,-3.707439299999999,4.4,2288.0,3.0,"restaurant, food, point_of_interest, establishment"
centro,Restaurante Vegetariano Artemisa - Huertas,"Calle de Ventura de la Vega, 4, Madrid",40.4160178,-3.698925100000001,4.5,2515.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Starbucks,"Calle del Arenal, 14, Madrid",40.4171797,-3.706226800000001,3.8,1623.0,2.0,"cafe, bakery, restaurant, store, food, point_of_interest, establishment"
centro,Bar La Campana,"Calle de Botoneras, 6, Madrid",40.4149117,-3.7068219,4.5,17686.0,1.0,"restaurant, bar, food, point_of_interest, establishment"
centro,Café Bar Hylogui,"Calle de Ventura de la Vega, 3, Bajo Izquierda, Madrid",40.4161041,-3.6988452,4.3,607.0,2.0,"cafe, restaurant, food, point_of_interest, establishment"
centro,Las Bravas,"Pasaje de Mathéu, 5, Madrid",40.4161465,-3.7020479,4.0,10471.0,1.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Cervecería Alemana,"Plaza de Santa Ana, 6, Madrid",40.4144726,-3.7003419,3.9,3054.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,FrescCo,"Calle de las Fuentes, 12, Madrid",40.417589,-3.708489199999999,4.0,3309.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,El Lacón,"Calle de Manuel Fernández y González, 8, Madrid",40.4151388,-3.699294299999999,4.3,3341.0,1.0,"restaurant, food, point_of_interest, establishment"
